name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating
Resident Evil: Operation Raccoon City	PS3	2012	Action	Capcom	480000	240000	360000	100000	5.2	36	4.9	222	Slant Six	M
LEGO Indiana Jones: The Original Adventures	PSP	2008	Action	LucasArts	400000	480000	0	290000	7.6	8	7.6	11	Traveller's Tales	E10+
Pokí©Park Weii: Pikachu's Adventure	Weii	2009	Adventure	Ninti	530000	160000	420000	60000	6.2	22	7.2	36	Creatures Inc.	E
WWE '12	PS3	2011	Fighting	THQ	530000	450000	20000	170000	7.2	28	6.9	80	Yuke's	T
Cabela's Dangerous Hunts	PS2	2003	Sports	Zoo Digital Publishing	570000	450000	0	150000	5.7	4	8.4	37	Sand Grain Studios	T
Grand Steal Auto V	PC	2015	Action	Take-Two Interactive	390000	690000	0	90000	9.6	57	7.9	3756	Rockstar North	M
Fallout: New Vegas	PC	2010	Role-Playing	Bethesda Softworks	590000	450000	0	140000	8.4	39	8.6	2754	Obsidian Entertainment	M
WWE SmackDown vs. Raw 2010	PS3	2009	Fighting	THQ	480000	480000	10000	200000	8.1	38	8.1	55	Yuke's	T
Medal of Honor: Rising Sun	XB	2003	Shooter	Electronic Arts	760000	360000	0	50000	6.5	23	5.8	28	EA LA	T
Army of Two	PS3	2008	Shooter	Electronic Arts	740000	260000	20000	150000	7.4	43	7.3	118	EA Montreal	M
Spore	PC	2008	Strategy	Electronic Arts	30000	1060000	0	80000	8.4	75	5.3	1711	Maxis	E10+
Marrison vs. Donkey Kong	GBA	2004	Puzzle	Ninti	680000	250000	210000	20000	8.1	43	8	31	Ninti	E
LEGO Star Wars III: The Clone Wars	PS3	2011	Action	LucasArts	520000	460000	0	190000	7.6	36	7.3	34	Traveller's Tales	E10+
Midnight Club 3: DUB Edition Remix	PS2	2006	Racing	Take-Two Interactive	970000	40000	0	160000	8.5	19	8.9	53	Rockstar San Diego	E10+
Tom Clancy's Ghost Recon: Jungle Storm	PS2	2004	Shooter	Ubisoft	570000	440000	0	150000	7	31	6.3	24	Red Storm Entertainment	T
Mirror's Edge	X360	2008	Platform	Electronic Arts	510000	510000	10000	130000	7.9	82	7.6	328	EA DICE	T
Sonic the Hedgehog	PS3	2006	Platform	Sega	410000	60000	40000	660000	4.3	17	4.1	176	Sonic Team	E10+
NASCAR Thunder 2002	PS2	2001	Racing	Electronic Arts	570000	440000	0	150000	8.5	17	8.5	22	EA Sports	E
Your Shape: Fitness Evolved 2012	X360	2011	Sports	Ubisoft	700000	360000	0	100000	7.7	13	7.6	21	Ubisoft	E
FIFA 14	XOne	2013	Sports	Electronic Arts	410000	660000	0	90000	8.8	22	5.8	328	EA Canada	E
Final Fantasy Tactics: The War of the Lions	PSP	2007	Role-Playing	Square Enix	450000	240000	300000	160000	8.8	41	8	238	TOSE	T
Sonic Rush Adventure	DS	2007	Platform	Sega	530000	480000	10000	120000	7.8	32	8.2	66	Dimps Corporation	E
Worldwide Soccer Manager 2009	PC	2008	Simulation	Sega	0	1140000	0	10000	8.3	29	8.1	30	Sports Interactive	E
Gauntlet: Dark Legacy	PS2	2001	Action	Midway Games	560000	440000	0	150000	7.3	15	8.3	30	Midway	T
Medal of Honor Heroes 2	PSP	2007	Shooter	Electronic Arts	500000	390000	20000	250000	6.9	20	7.3	30	EA LA	T
Medal of Honor: Warfighter	X360	2012	Action	Electronic Arts	590000	450000	10000	100000	5.3	43	5.4	437	Danger Close	M
FIFA Soccer 10	PSP	2009	Sports	Electronic Arts	150000	670000	10000	310000	8.3	9	7.9	14	EA Sports	E
Donkey Konga	GC	2003	Misc	Ninti	500000	160000	460000	30000	7.6	55	8.3	21	Namco	E
Call of War 4: Modern Warfare	PC	2007	Shooter	Activision	0	1120000	0	30000	9.2	40	8.5	2360	Infinity Ward	M
Tak and the Power of Juju	PS2	2003	Platform	THQ	560000	440000	0	150000	6.8	28	9	28	Avalanche Software	E
WWE 2K15	PS4	2014	Sports	Take-Two Interactive	390000	570000	0	190000	6.2	44	5.1	164	Yuke's	T
Action Bass	PS	2000	Action	Take-Two Interactive	640000	430000	0	70000	5.1	8	NA	NA	Vingt-et-un Systems	E
Tenchu: Wrath of Heaven	PS2	2003	Action	Activision	440000	340000	250000	110000	7.9	33	8.4	38	K2 LLC	M
Shadow of the Colossus	PS2	2005	Action	Sony Computer Entertainment	780000	30000	200000	130000	9.1	77	9.1	933	SCE Japan Studio	T
Ninja Gaiden Sigma	PS3	2007	Action	Eidos Interactive	570000	320000	90000	160000	8.8	46	7.5	155	Team Ninja	M
WWE 2K14	PS3	2013	Sports	Take-Two Interactive	490000	460000	0	190000	7.4	22	7.5	121	Yuke's	T
Pokemon Rumble Blast	3DS	2011	Action	Ninti	470000	260000	350000	70000	5.6	36	7.1	50	Ambrella	E10+
007: Quantum of Solace	PS3	2008	Action	Activision	430000	510000	20000	190000	6.5	42	6.6	47	Treyarch	T
Dance Dance Revolution Extreme 2	PS2	2005	Simulation	Konami Digital Entertainment	950000	40000	0	160000	7.6	27	9	21	Konami Computer Entertainment Hawaii	E10+
The Lord of the Rings: The Return of the King	XB	2003	Action	Electronic Arts	710000	380000	0	50000	8.4	31	9.1	31	EA Games	T
Hot Shots Golf: Out of Bounds	PS3	2007	Sports	Sony Computer Entertainment	310000	30000	760000	40000	8.1	66	8.8	32	Clap Hanz	E
Red Dead Redemption: Undead Nightmare	PS3	2010	Action	Take-Two Interactive	450000	450000	60000	180000	NA	NA	7.4	17	Rockstar San Diego	M
Sunset Overdrive	XOne	2014	Shooter	Microsoft Game Studios	630000	400000	0	100000	8.1	89	7.7	1137	Insomniac Games	M
Mobile Suit Gundam: Federation vs. Zeon	PS2	2001	Simulation	Atari	120000	100000	880000	30000	7.3	15	8.8	32	Capcom	T
Naruto Shippuden: Ultimate Ninja Storm 4	PS4	2016	Fighting	Namco Bandai Games	410000	450000	110000	170000	7.9	60	8.2	201	CyberConnect2	T
MechAssault	XB	2002	Simulation	Microsoft Game Studios	1010000	100000	0	30000	8.7	32	8	47	Day 1 Studios	T
EA Sports Active: More Workouts	Weii	2009	Sports	Electronic Arts	760000	270000	0	100000	8	15	NA	NA	Electronic Arts	E
Cars	GBA	2006	Racing	THQ	810000	300000	0	20000	5	8	4.7	6	Helixe	E
Watch Dogs 2	PS4	2016	Action	Ubisoft	370000	580000	0	180000	8.3	88	7.8	621	Ubisoft Montreal	M
LEGO Star Wars III: The Clone Wars	3DS	2011	Action	LucasArts	610000	430000	0	90000	6.7	25	6.1	31	Traveller's Tales	E10+
Tom Clancy's Rainbow Six 3: Black Arrow	XB	2004	Shooter	Ubisoft	990000	120000	0	20000	8.4	55	8.6	14	Ubisoft Montreal	M
Mirror's Edge	PS3	2008	Platform	Electronic Arts	310000	580000	20000	220000	7.9	66	7.8	362	EA DICE	T
Guitar Hero 5	X360	2009	Misc	Activision	650000	370000	0	110000	8.5	69	6.8	108	Neversoft Entertainment	T
Alien: Isolation	PS4	2014	Shooter	Sega	340000	570000	40000	170000	7.9	50	8.1	795	Creative Assembly	M
Fantasy Life	3DS	2012	Role-Playing	Ninti	330000	370000	370000	60000	7.3	51	8.6	209	"Level 5, Brownie Brown"	E10+
SingStar	PS3	2007	Misc	Sony Computer Entertainment	450000	560000	0	120000	8.2	48	5.9	15	SCEE London Studio	T
The Legend of Zelda: Tri Force Heroes	3DS	2015	Action	Ninti	530000	330000	170000	80000	7.3	73	7.6	179	Ninti	E
Supercar Street Challenge	PS2	2001	Racing	Activision	550000	430000	0	140000	5.7	15	7.6	9	Exakt	E
Rabbids Go Home	Weii	2009	Platform	Ubisoft	250000	740000	0	140000	7.8	50	8.3	32	Ubisoft Montpellier	E10+
ModNation Racers	PS3	2010	Racing	Sony Computer Entertainment	500000	400000	60000	160000	8.2	85	8.4	201	United Front Games	E
SOCOM: U.S. Navy SEALs Fireteam Bravo	PSP	2005	Shooter	Sony Computer Entertainment	1030000	0	10000	80000	8.2	44	8.6	63	Zipper Interactive	M
Rocksmith	PS3	2011	Misc	Ubisoft	530000	360000	90000	150000	8	27	8.3	52	Ubisoft	T
Call Of War 2: Big Red One	XB	2005	Shooter	Activision	660000	400000	0	50000	7.8	46	5.1	27	Treyarch	T
Rocksmith	X360	2011	Misc	Ubisoft	840000	190000	10000	80000	7.7	30	8.2	62	Ubisoft	T
Guitar Hero 5	PS2	2009	Misc	Activision	280000	300000	0	540000	7.1	4	2.6	10	BudCat	T
Yakuza 3	PS3	2009	Action	Sega	210000	200000	620000	80000	7.9	77	8.1	165	Ryu ga Gotoku Studios	M
Persona 4: Golden	PSV	2012	Role-Playing	Atlus	360000	230000	380000	150000	9.3	61	9.2	1228	Atlus	M
Spider-Man 2	XB	2004	Action	Activision	820000	260000	0	40000	8.3	60	8.3	40	Treyarch	T
Crackdown 2	X360	2010	Shooter	Microsoft Game Studios	630000	360000	20000	100000	7	91	6	202	Ruffian Games	M
Dragon Age II	X360	2011	Action	Electronic Arts	720000	290000	10000	90000	7.9	75	4.5	2380	BioWare	M
Counter-Strike	XB	2003	Shooter	Microsoft Game Studios	850000	230000	0	40000	7.4	38	7.6	51	Valve Software	M
Fight Night Champion	PS3	2011	Fighting	Electronic Arts	450000	490000	0	180000	8.4	52	7.3	95	EA Canada	M
Tom Clancy's Splinter Cell: Chaos Theory	XB	2005	Action	Ubisoft	680000	380000	0	50000	9.4	70	9	160	Ubisoft Montreal	M
Pikmin 3	WeiiU	2013	Strategy	Ninti	440000	320000	290000	70000	8.7	79	8.7	664	Ninti	E10+
WWE 2K14	X360	2013	Sports	Take-Two Interactive	640000	370000	0	100000	7.5	43	7.7	100	Yuke's	T
Dragon Ball: XenoVerse	PS4	2015	Fighting	Namco Bandai Games	300000	520000	120000	160000	6.9	50	7.7	598	Dimps Corporation	T
Castlevania: Lords of Shadow	PS3	2010	Action	Konami Digital Entertainment	500000	350000	100000	150000	8.5	62	8	468	Mercury Steam	M
NBA Live 2001	PS2	2001	Sports	Electronic Arts	520000	400000	40000	130000	7.4	18	NA	NA	EA Sports	E
SingStar Legends	PS2	2006	Misc	Sony Computer Entertainment	120000	750000	0	230000	7.6	25	NA	NA	SCEE London Studio	T
Tales of Symphonia	GC	2003	Role-Playing	Ninti	540000	210000	310000	40000	8.6	60	8.5	176	Namco	T
LEGO City Undercover	WeiiU	2013	Platform	Ninti	470000	420000	130000	80000	8	66	8.2	283	TT Games	E10+
Need for Speed: ProStreet	Weii	2007	Racing	Electronic Arts	530000	450000	0	120000	6.1	16	6.9	14	EA Games	E10+
GRID	PS3	2008	Racing	Codemasters	310000	560000	30000	200000	8.7	39	8.1	109	Codemasters	E
Medal of Honor: Airborne	X360	2007	Shooter	Electronic Arts	450000	520000	10000	120000	7.3	54	6.7	77	Electronic Arts	T
Petz Dogz 2	DS	2007	Simulation	Ubisoft	460000	510000	0	120000	NA	NA	NA	NA	MTO	E
NCAA Football 14	X360	2013	Sports	Electronic Arts	1010000	0	0	80000	7.7	18	5.8	74	EA Tiburon	E
Yakuza 2	PS2	2006	Adventure	Sega	50000	40000	840000	160000	7.7	34	8.1	52	Amusement Vision	M
Guitar Hero 5	PS3	2009	Misc	Activision	530000	390000	0	170000	8.6	54	5.7	87	Neversoft Entertainment	T
Dragon Ball Z: The Legacy of Goku II	GBA	2003	Role-Playing	Atari	780000	290000	0	20000	7.5	21	8.9	39	Webfoot Technologies	E
NERF N-Strike	Weii	2008	Shooter	Electronic Arts	910000	90000	0	90000	6.6	13	4.4	7	"EA Redwood Shores, EA Salt Lake"	E10+
NFL 2K1	DC	2000	Sports	Sega	1020000	50000	0	20000	9.7	22	6	47	Visual Concepts	E
Untold Legends: Brotherhood of the Blade	PSP	2005	Role-Playing	Activision	540000	330000	10000	220000	6.8	51	7.6	58	Sony Online Entertainment	T
Madden NFL 2004	XB	2003	Sports	Electronic Arts	1020000	20000	0	50000	9.2	27	8.3	48	EA Tiburon	E
Sonic and the Black Knight	Weii	2009	Platform	Sega	640000	340000	10000	100000	5.4	51	6.9	198	Sonic Team	E10+
The Godfather	PS2	2006	Action	Electronic Arts	890000	30000	10000	150000	7.5	56	8.3	99	Electronic Arts	M
Sonic Free Riders	X360	2010	Racing	Sega	740000	250000	0	90000	4.7	52	2.1	98	Sega	E
Star Wars: Bounty Hunter	PS2	2002	Shooter	LucasArts	530000	420000	0	140000	6.5	32	8.3	33	LucasArts	T
WWE SmackDown vs. Raw 2011	PS3	2010	Fighting	THQ	440000	460000	10000	180000	7.4	42	6.9	41	Yuke's	T
LEGO Star Wars III: The Clone Wars	DS	2011	Action	LucasArts	610000	380000	0	100000	6.6	8	NA	NA	Traveller's Tales	E
NCAA Football 13	X360	2012	Action	Electronic Arts	1020000	0	0	70000	7.6	20	5.5	65	EA Tiburon	E
Skate 2	X360	2009	Sports	Electronic Arts	820000	170000	10000	90000	8.4	70	8	72	EA Black Box	T
NASCAR Thunder 2004	PS2	2003	Racing	Electronic Arts	530000	410000	0	140000	8.8	15	8.9	77	EA Tiburon	E
SpongeBob SquarePants: Revenge of the Flying Dutchman	PS2	2002	Platform	THQ	530000	410000	0	140000	NA	NA	6.6	41	Big Sky Software	E
Imagine: Babysitters	DS	2008	Simulation	Ubisoft	630000	350000	0	100000	NA	NA	NA	NA	Visual Impact	E
Namco Museum Battle Collection	PSP	2005	Misc	Sony Computer Entertainment	750000	180000	0	160000	7.3	28	7.2	9	TOSE	E10+
Empire: Total War	PC	2009	Strategy	Sega	10000	970000	0	100000	9	62	6.9	2981	Creative Assembly	T
Virtua Fighter 5	PS3	2007	Fighting	Sega	290000	510000	80000	200000	8.5	47	7.4	67	Sega AM2	T
Dante's Inferno	PS3	2010	Action	Electronic Arts	640000	280000	40000	130000	7.5	69	7.5	265	Visceral Games	M
Tom Clancy's Ghost Recon 2	PS2	2004	Shooter	Ubisoft	640000	340000	0	100000	5.8	21	6	19	Ubisoft Shanghai/Paris	T
Forza Horizon 3	XOne	2016	Racing	Microsoft Game Studios	420000	580000	0	80000	9.1	90	7.4	594	Playground Games	E
Star Wars: The Force Unleashed	PSP	2008	Action	LucasArts	430000	400000	0	240000	7	10	8.1	49	Krome Studios	T
Dragon Ball Z: Taiketsu	GBA	2003	Fighting	Atari	770000	290000	0	20000	4	23	6.1	22	Webfoot Technologies	T
Star Fox: Assault	GC	2005	Shooter	Ninti	680000	180000	190000	30000	6.7	59	8.1	106	Namco	T
Plants vs. Zombies: Garden Warfare	X360	2014	Shooter	Electronic Arts	510000	470000	0	90000	6.9	6	7.3	121	PopCap	E10+
The Simpsons Game	PSP	2007	Action	Electronic Arts	240000	540000	0	300000	5.9	7	6.7	15	"Electronic Arts, Rebellion"	T
LEGO Star Wars II: The Original Trilogy	DS	2006	Action	LucasArts	960000	30000	0	80000	4.7	9	5	38	Amaze Entertainment	E
Call of War 3	PS2	2006	Shooter	Activision	890000	30000	0	150000	8.2	14	7.4	83	Treyarch	T
FIFA Soccer 11	Weii	2010	Sports	Electronic Arts	260000	690000	0	120000	7.3	17	7.3	8	EA Sports	E
Imagine: Fashion Designer New York	DS	2008	Simulation	Ubisoft	650000	320000	0	100000	NA	NA	NA	NA	"Lexis Numerique, Virtual Toys"	E
Prince of Persia	PS3	2008	Action	Ubisoft	470000	400000	30000	170000	8.5	59	7.3	245	Ubisoft Montreal	T
WWE SmackDown vs. Raw 2010	PS2	2009	Fighting	THQ	530000	10000	0	540000	NA	NA	7.7	31	Yuke's	T
Tomb Raider: Underworld	X360	2008	Action	Eidos Interactive	530000	420000	10000	110000	7.6	57	6.6	198	Crystal Dynamics	T
Pro Evolution Soccer 2008	X360	2007	Sports	Konami Digital Entertainment	80000	900000	40000	50000	7.6	29	7.8	36	Konami	E
SoulCalibur III	PS2	2005	Fighting	Namco Bandai Games	740000	150000	130000	50000	8.6	57	8.4	96	Namco	T
Tiger Woods PGA Tour 10	Weii	2009	Sports	Electronic Arts	600000	360000	0	110000	8.8	44	8.8	57	EA Tiburon	E
MySims Agents	DS	2009	Adventure	Electronic Arts	540000	420000	0	110000	6	5	NA	NA	TOSE	E
World Tour Soccer	PSP	2005	Sports	Sony Computer Entertainment	100000	630000	0	340000	7	31	5.6	5	SCEE	E
Naruto: Ultimate Ninja Storm	PS3	2008	Fighting	Namco Bandai Games	490000	340000	90000	150000	7.5	32	8.6	95	CyberConnect2	T
Red Dead Redemption: Undead Nightmare	X360	2010	Action	Take-Two Interactive	570000	380000	20000	100000	NA	NA	7.6	18	Rockstar San Diego	M
Lightning Returns: Final Fantasy XIII	PS3	2013	Role-Playing	Square Enix	310000	200000	450000	110000	6.6	62	5.9	552	Square Enix	T
Mortal Kombat: Armageddon	PS2	2006	Fighting	Midway Games	880000	40000	0	140000	7.5	43	8.5	84	Midway	M
Freekstyle	PS2	2002	Racing	Electronic Arts	520000	410000	0	140000	8.1	25	7.3	14	Page 44 Studios	E
Grand Steal Auto: Chinatown Wars	PSP	2009	Action	Take-Two Interactive	280000	490000	30000	270000	9	77	7.3	146	Rockstar Leeds	M
Spore Creatures	DS	2008	Simulation	Electronic Arts	660000	300000	0	100000	6.5	20	6.5	21	Griptonite Games	E
The Orange Box	PS3	2007	Shooter	Electronic Arts	280000	580000	0	210000	8.9	21	8.4	188	EA Games	M
DJ Hero	X360	2009	Misc	Activision	560000	390000	0	110000	8.4	72	8	42	FreeStyleGames	T
Bully: Scholarship Edition	X360	2008	Action	Take-Two Interactive	530000	400000	30000	110000	8	56	8.3	154	"Mad Doc Software, Rockstar Vancouver"	T
NBA Street V3	PS2	2005	Sports	Electronic Arts	520000	410000	0	140000	8.9	36	8.7	37	EA Canada	E
Overwatch	XOne	2016	Shooter	Activision	630000	330000	0	100000	9.1	18	5.6	668	Blizzard Entertainment	T
Aliens vs Predator	X360	2010	Shooter	Sega	550000	400000	0	110000	6.4	64	7.3	247	Rebellion	M
Skylanders Giants	PS3	2012	Action	Activision	360000	490000	0	200000	7.7	21	6.3	18	Toys for Bob	E10+
Diablo II: Lord of Destruction	PC	2001	Role-Playing	Vivendi Games	1030000	20000	0	0	8.7	21	9.1	639	Blizzard North	M
Endless Ocean	Weii	2007	Adventure	Ninti	430000	460000	90000	90000	7.2	42	8.1	61	Arika	E
Spider-Man 2	GBA	2004	Action	Activision	760000	280000	0	20000	6.5	12	7.7	6	Digital Eclipse	E
Darksiders	X360	2010	Action	THQ	670000	280000	10000	100000	8.3	81	7.9	292	Vigil Games	M
Mercenaries 2: World in Flames	X360	2008	Shooter	Electronic Arts	650000	300000	10000	100000	7.2	69	7.2	152	Pandemic Studios	T
LEGO Marvel Super Heroes	XOne	2013	Action	Warner Bros. Interactive Entertainment	610000	350000	0	90000	NA	NA	6.8	73	TT Games	E10+
Warhawk	PS3	2007	Simulation	Sony Computer Entertainment	490000	390000	0	170000	8.4	50	8.4	183	Incognito Inc.	T
DiRT 3	PS3	2011	Racing	Codemasters	270000	570000	10000	200000	8.7	52	7.1	122	Codemasters	T
Sega Superstars Tennis	Weii	2008	Sports	Sega	280000	650000	0	130000	7.1	24	7	16	Sumo Digital	E10+
DiRT	PS3	2007	Racing	Codemasters	160000	660000	0	230000	8.3	32	8	32	Codemasters	E
Call of War 4: Modern Warfare	DS	2007	Shooter	Activision	950000	10000	10000	80000	7.5	22	6.9	36	n-Space	T
Resident Evil: The Darkside Chronicles	Weii	2009	Action	Capcom	460000	310000	200000	90000	7.5	55	8	60	Cavia Inc.	M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2	PSP	2006	Shooter	Sony Computer Entertainment	810000	110000	0	130000	8.1	31	9	36	Zipper Interactive	T
Dora the Explorer: Dora Saves the Mermaids	DS	2007	Platform	Take-Two Interactive	970000	10000	0	70000	4.4	5	NA	NA	Black Lantern Studios	E
NBA 2K3	PS2	2002	Sports	Sega	510000	400000	0	130000	8.9	21	8	22	Visual Concepts	E
LEGO The Lord of the Rings	PS3	2012	Action	Warner Bros. Interactive Entertainment	370000	490000	0	190000	8.2	16	8.3	85	TT Games	E10+
The Simpsons: Road Rage	XB	2001	Racing	Electronic Arts	780000	260000	0	10000	6.1	17	8.3	6	Fox Interactive	T
Dave Mirra Freestyle BMX	PS	2000	Sports	Acclaim Entertainment	910000	110000	0	30000	8.2	14	8.4	5	"Z-Axis, Ltd."	E
EA Sports UFC	PS4	2014	Sports	Electronic Arts	460000	410000	10000	170000	7	57	6.1	279	EA Sports	T
Forza Motorsport	XB	2005	Racing	Microsoft Game Studios	520000	510000	0	20000	9.2	73	7.6	213	Microsoft Game Studios	E
Virtua Tennis 3	PS3	2007	Sports	Sega	230000	580000	30000	210000	8	35	7.9	32	Sega AM3	E
MVP Baseball 2003	PS2	2003	Sports	Electronic Arts	510000	400000	0	130000	8.1	22	8.9	17	EA Sports	E
Imagine: Animal Doctor	DS	2007	Simulation	Ubisoft	450000	480000	0	110000	NA	NA	7.4	5	Virtual Toys	E
WWE SmackDown vs. Raw 2010	X360	2009	Fighting	THQ	560000	370000	10000	100000	8	59	8.4	36	Yuke's	T
Sleeping Dogs	PS3	2012	Action	Square Enix	310000	490000	50000	190000	8.3	40	7.7	645	United Front Games	M
ATV: Quad Power Racing	PS	2000	Racing	Acclaim Entertainment	580000	390000	0	70000	4.2	9	NA	NA	Climax Group	E
Naruto: Clash of Ninja 2	GC	2003	Fighting	Ninti	440000	120000	450000	30000	7.4	22	8.9	39	8ing/Raizing	T
Dance Dance Revolution SuperNOVA	PS2	2006	Simulation	Konami Digital Entertainment	870000	30000	0	140000	7.3	25	8.7	6	Konami	E10+
Aliens vs Predator	PS3	2010	Shooter	Sega	410000	460000	0	180000	6.5	57	7.3	168	Rebellion	M
F-Zero: Maximum Velocity	GBA	2001	Racing	Ninti	390000	160000	370000	120000	8.6	19	8.5	22	Nd Cube	E
Sonic the Hedgehog	X360	2006	Platform	Sega	440000	480000	0	110000	4.6	38	4.4	455	Sega	E10+
Need for Speed: Most Wanted	XB	2005	Racing	Electronic Arts	530000	460000	0	50000	8.3	32	8.8	29	EA Canada	T
The Simpsons Game	X360	2007	Action	Electronic Arts	540000	390000	0	110000	7.1	52	7.7	71	"Electronic Arts, EA Redwood Shores"	T
F1 2012	PS3	2012	Racing	Codemasters	120000	630000	50000	230000	8.1	23	7.5	54	Codemasters	E
Brink	X360	2011	Shooter	Bethesda Softworks	590000	350000	10000	90000	6.8	85	5.8	404	Splash Damage	T
MX vs. ATV Unleashed	PS2	2005	Racing	THQ	860000	30000	0	140000	7.9	30	8.4	17	Rainbow Studios	E
WipEout Pure	PSP	2005	Racing	Sony Computer Entertainment	470000	340000	0	230000	8.8	56	7.9	102	Studio Liverpool	E
UFC Undisputed 3	PS3	2012	Action	THQ	550000	320000	30000	130000	8.6	30	7.4	92	Yuke's	T
LEGO Pirates of the Caribbean: The Video Game	X360	2011	Action	Disney Interactive Studios	540000	390000	0	90000	7.3	54	7	31	Traveller's Tales	E10+
Tom Clancy's Ghost Recon Advanced Warfighter 2	PS3	2007	Shooter	Ubisoft	340000	480000	20000	190000	8.4	29	8.1	41	"Red Storm Entertainment, Ubisoft Paris"	T
Super Princess Peach	DS	2005	Platform	Ninti	700000	50000	210000	70000	7.5	48	7.6	33	TOSE	E
Guinness World Records: The Videogame	Weii	2008	Action	Warner Bros. Interactive Entertainment	460000	470000	0	110000	6.7	12	7	8	TT Fusion	E10+
NCAA March Madness 2004	PS2	2003	Sports	Electronic Arts	500000	390000	0	130000	8.2	16	8.8	12	NuFX	E
The Legend of Zelda: Twilight Princess HD	WeiiU	2016	Action	Ninti	560000	300000	80000	90000	8.6	74	8.4	329	"Tantalus Interactive, Tantatus, Ninti"	T
LEGO Indiana Jones: The Original Adventures	PS3	2008	Action	Activision	440000	420000	0	170000	7.7	36	7.7	30	Traveller's Tales	E10+
MySims Agents	Weii	2009	Adventure	Electronic Arts	610000	320000	0	100000	7.8	28	8.6	28	Electronic Arts	E
MotorStorm: Arctic Edge	PSP	2009	Racing	Sony Computer Entertainment	160000	570000	0	290000	7.9	58	8.8	39	Bigbig Studios	T
FIFA Soccer 08	Weii	2007	Sports	Electronic Arts	320000	590000	10000	110000	6.5	13	6.1	26	EA Canada	E
ZhuZhu Pets	DS	2010	Simulation	Activision	670000	260000	0	90000	NA	NA	NA	NA	Black Lantern Studios	E
Tiger Woods PGA Tour 08	Weii	2007	Sports	Electronic Arts	930000	10000	0	80000	7.2	24	7	22	EA Salt Lake	E
Dragon Ball Z: Budokai Tenkaichi 3	Weii	2007	Fighting	Atari	320000	360000	260000	90000	7.2	27	8.4	61	"Spike, Namco Bandai Games"	T
Shrek 2	GC	2004	Platform	Activision	730000	260000	10000	30000	7	25	6.4	14	"Luxoflux, Inc."	E
NBA 2K17	XOne	2016	Sports	Take-Two Interactive	860000	60000	0	110000	9	17	6.2	91	Visual Concepts	E
Tom Clancy's Ghost Recon Advanced Warfighter 2	X360	2007	Shooter	Ubisoft	870000	50000	20000	80000	8.6	58	8.1	89	"Red Storm Entertainment, Ubisoft Paris"	T
Sonic Unleashed	PS3	2008	Platform	Sega	560000	320000	10000	140000	5.4	24	7.9	130	Sonic Team	E10+
Disney Universe	Weii	2011	Action	Disney Interactive Studios	640000	280000	0	100000	6.1	11	6	5	Eurocom Entertainment Software	E10+
Dance on Broadway	Weii	2010	Misc	Ubisoft	250000	650000	0	120000	4.8	6	3.3	4	Longtail Studios	E10+
LEGO Indiana Jones 2: The Adventure Continues	X360	2009	Action	Activision	620000	310000	0	90000	7.1	41	7.4	25	Traveller's Tales	E10+
Petz: Catz 2	DS	2007	Simulation	Ubisoft	510000	400000	0	110000	NA	NA	9	4	Powerhead Games	E
Bulletstorm	X360	2011	Shooter	Electronic Arts	610000	320000	10000	80000	8.4	83	7.6	439	"Epic Games, People Can Fly"	M
Skylanders SWAP Force	PS3	2013	Platform	Activision	430000	420000	0	170000	8.3	31	5.3	33	Vicarious Visions	E10+
Madden NFL 07	XB	2006	Sports	Electronic Arts	970000	30000	0	30000	8.3	27	8.7	6	EA Tiburon	E
Sonic Generations	3DS	2011	Platform	Sega	440000	470000	10000	90000	6.6	29	6.9	108	"Sega, Dimps Corporation"	E
Harry Potter and the Prisoner of Azkaban	PS2	2004	Action	Electronic Arts	500000	390000	0	130000	7	29	8.7	29	EA Games	E
Pokemon Conquest	DS	2012	Role-Playing	Ninti	560000	50000	370000	40000	8	40	8.2	89	Koei	E
Wall-E	Weii	2008	Platform	THQ	510000	400000	0	110000	5.1	18	3.6	8	Heavy Iron Studios	E
Disney Fairies: Tinker Bell and the Lost Treasure	DS	2009	Adventure	Disney Interactive Studios	560000	340000	20000	90000	NA	NA	NA	NA	Hyde	E
Ace Combat 6: Fires of Liberation	X360	2007	Simulation	Atari	690000	40000	220000	60000	8	54	7.9	101	Project Aces	T
The Simpsons Game	Weii	2007	Action	Electronic Arts	450000	460000	0	110000	6.4	19	6.1	38	"Electronic Arts, Rebellion"	T
Ninja Gaiden II	X360	2008	Action	Tecmo Koei	650000	220000	50000	100000	8.1	74	8	302	"Team Ninja, Tecmo"	M
Assassin's Creed: Rogue	X360	2014	Action	Ubisoft	580000	340000	0	90000	7.2	32	7.3	318	Ubisoft	M
Rayman Legends	PS4	2014	Platform	Ubisoft	220000	640000	0	160000	9	16	8.5	525	Ubisoft Montpellier	E10+
Prince of Persia	X360	2008	Action	Ubisoft	540000	340000	20000	100000	8.1	73	7	189	Ubisoft Montreal	T
ZombiU	WeiiU	2012	Action	Ubisoft	520000	360000	50000	80000	7.7	70	7.7	758	Ubisoft Montpellier	M
Pokken Tournament	WeiiU	2016	Fighting	Namco Bandai Games	500000	260000	170000	80000	7.6	74	8	273	Bandai Namco Games	E10+
